const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
0.5,3,100,0.55,0.0024031622331303,,1,InsectsIncrementalReoccurringBalanced
1.0,2,100,0.45,0.0018645541493575,,1,InsectsIncrementalReoccurringBalanced
1.0,2,100,0.5,0.0017454044834178,,1,InsectsIncrementalReoccurringBalanced
0.5,2,100,0.45,0.0017435175710231,,1,InsectsIncrementalReoccurringBalanced
0.5,2,100,0.5,0.001645253337942,,1,InsectsIncrementalReoccurringBalanced
1.0,2,100,0.55,0.001630805776083,,1,InsectsIncrementalReoccurringBalanced
0.5,2,100,0.55,0.0015599078673405,,1,InsectsIncrementalReoccurringBalanced
0.5,2,1000,0.45,0.0044730819595892,,1,NOAAWeather
0.5,2,1000,0.5,0.0044730819595892,,1,NOAAWeather
1.0,2,1000,0.5,0.0044057715607445,,1,NOAAWeather
1.0,2,1000,0.45,0.0044057715607445,,1,NOAAWeather
0.5,2,1000,0.55,0.0044057715607445,,1,NOAAWeather
1.0,2,1000,0.55,0.0041977212370427,,1,NOAAWeather
1.0,3,1000,0.55,0.004068454675625,,1,NOAAWeather
1.0,3,1000,0.5,0.004068454675625,,1,NOAAWeather
1.0,3,1000,0.45,0.004068454675625,,1,NOAAWeather
0.5,3,1000,0.5,0.0038275140433968,,1,NOAAWeather
0.5,3,1000,0.45,0.0038275140433968,,1,NOAAWeather
0.5,3,1000,0.55,0.0037724418988875,,1,NOAAWeather
1.0,3,500,0.45,0.002232041621583,,1,NOAAWeather
1.0,3,500,0.5,0.0022255625457584,,1,NOAAWeather
0.5,3,500,0.45,0.0021569923266145,,1,NOAAWeather
1.0,3,500,0.55,0.0021080393092729,,1,NOAAWeather
0.5,3,500,0.55,0.0020988606185213,,1,NOAAWeather
0.5,3,500,0.5,0.0020958010549375,,1,NOAAWeather
1.0,2,500,0.5,0.0019550611300804,,1,NOAAWeather
1.0,2,500,0.55,0.0019550611300804,,1,NOAAWeather
0.5,2,500,0.55,0.0019489420029127,,1,NOAAWeather
0.5,2,500,0.5,0.0019305846214096,,1,NOAAWeather
1.0,2,500,0.45,0.0019152868034903,,1,NOAAWeather
0.5,2,500,0.45,0.001899988985571,,1,NOAAWeather
0.5,3,250,0.55,0.0012207658699563,,1,NOAAWeather
1.0,3,250,0.55,0.0012161765245805,,1,NOAAWeather
1.0,3,250,0.45,0.0012146467427886,,1,NOAAWeather
1.0,3,250,0.5,0.0012146467427886,,1,NOAAWeather
0.5,3,250,0.5,0.0012131169609966,,1,NOAAWeather
0.5,3,250,0.45,0.0012115871792047,,1,NOAAWeather
1.0,2,250,0.45,0.0012085276156209,,1,NOAAWeather
1.0,2,250,0.55,0.0012085276156209,,1,NOAAWeather
1.0,2,250,0.5,0.0012085276156209,,1,NOAAWeather
0.5,2,250,0.5,0.0012085276156209,,1,NOAAWeather
0.5,2,250,0.55,0.0012085276156209,,1,NOAAWeather
0.5,2,250,0.45,0.0011733426344066,,1,NOAAWeather
0.5,2,1000,0.45,0.105026256564141,,1,OutdoorObjects
0.5,2,1000,0.5,0.105026256564141,,1,OutdoorObjects
0.5,2,1000,0.55,0.105026256564141,,1,OutdoorObjects
0.5,3,1000,0.45,0.105026256564141,,1,OutdoorObjects
0.5,3,1000,0.5,0.105026256564141,,1,OutdoorObjects
0.5,3,1000,0.55,0.105026256564141,,1,OutdoorObjects
1.0,2,1000,0.45,0.105026256564141,,1,OutdoorObjects
1.0,2,1000,0.5,0.105026256564141,,1,OutdoorObjects
1.0,2,1000,0.55,0.105026256564141,,1,OutdoorObjects
1.0,3,1000,0.45,0.105026256564141,,1,OutdoorObjects
1.0,3,1000,0.5,0.105026256564141,,1,OutdoorObjects
1.0,3,1000,0.55,0.105026256564141,,1,OutdoorObjects
1.0,3,500,0.45,0.0859381512044677,,1,OutdoorObjects
1.0,3,500,0.5,0.0859381512044677,,1,OutdoorObjects
1.0,3,500,0.55,0.0858547970325914,,1,OutdoorObjects
1.0,3,250,0.45,9.397346665758904e-05,,1,PokerHand
