n_reference_samples,recent_samples_proportion,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
250,0.1,0.6,0.686723830197781,0.0005791233973864,5,PokerHand
250,1.0,0.7,0.686002653159672,0.0002261651348918,5,PokerHand
250,0.1,0.7,0.685681862035697,0.0006909983459484,5,PokerHand
250,0.5,0.6,0.6855559575494452,0.0005172100938953,5,PokerHand
250,0.1,0.8,0.6843046309696093,0.000187894498415,5,PokerHand
250,1.0,0.8,0.6837773757838881,0.0001349686926658,5,PokerHand
250,0.5,0.7,0.6826972986010613,0.0002684096373915,5,PokerHand
250,0.5,0.8,0.6818367100820067,0.0003172797735036,5,PokerHand
500,1.0,0.7,0.6596837916063676,8.622305082330295e-05,5,PokerHand
500,0.5,0.6,0.6596659430776652,0.0007005559868207,5,PokerHand
500,1.0,0.8,0.6590062711046792,0.000282733908363,5,PokerHand
500,0.5,0.7,0.6580369030390738,0.0007214287781373,5,PokerHand
500,0.5,0.8,0.6578654124457308,0.0005389618297071,5,PokerHand
500,0.1,0.6,0.6577467438494935,0.0003576062042113,5,PokerHand
500,0.1,0.7,0.6573528702363725,0.0006105055143384,5,PokerHand
500,0.1,0.8,0.6560622286541244,0.0005104931943646,5,PokerHand
250,0.1,0.8,0.1610117953687305,0.0038299944043944,5,Powersupply
500,0.5,0.6,0.1583787215557857,0.0012503507329406,5,Powersupply
250,0.5,0.7,0.1574965749991646,0.0010357461164064,5,Powersupply
50,0.5,0.8,0.157322818859224,0.00209200746941,5,Powersupply
250,0.1,0.7,0.1565542820864102,0.0018663506091402,5,Powersupply
250,0.5,0.6,0.1565141845156547,0.0015358018103093,5,Powersupply
125,0.1,0.8,0.1557991111705148,0.0011251360570944,5,Powersupply
500,0.5,0.7,0.1552511110368563,0.0008951757101881,5,Powersupply
250,1.0,0.7,0.154763257259331,0.0004062319087226,5,Powersupply
125,1.0,0.7,0.1540548668426504,0.0030969984062738,5,Powersupply
50,1.0,0.8,0.1533999398536438,0.0017943694025391,5,Powersupply
500,1.0,0.6,0.1530524275737627,0.0009936573031922,5,Powersupply
500,0.1,0.7,0.1529855982891702,0.0040398979667582,5,Powersupply
250,1.0,0.6,0.1529722324322517,0.0011319133014304,5,Powersupply
500,1.0,0.8,0.1529054031476593,0.0,5,Powersupply
